,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
18166,У812ВН_52,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18167,Е180НС_14,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18168,Р078ХВ_10,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18169,А618АМ_68,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18170,Х140ХТ_70,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18171,С214НЕ_18,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18172,Н062РН_06,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18173,Р475НР_83,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18174,В793ХТ_36,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18175,Т304РУ_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18176,О738ВВ_34,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18177,Е948АХ_21,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18178,М192НУ_97,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18179,У082КА_72,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
18180,Х107АК_16,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
18181,А078УО_52,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18182,К664АР_45,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18183,К277ОН_20,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
18184,У975СЕ_80,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18185,А332ТА_54,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18186,Т342ЕВ_00,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18187,О773КЕ_86,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18188,Е993РВ_08,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18189,Р067ТК_55,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18190,Е597ТН_01,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18191,О737СЕ_55,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,белый
18192,Х186ВН_48,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,чёрный
18193,А475АХ_11,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18194,Р003ХТ_09,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18195,А918ТР_85,Audi RS 7 I (4G) Рестайлинг,лифтбек,автомат,полный,560,4.0,Бензин,синий
18196,Т480АВ_03,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18197,Х996ОУ_46,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18198,У132ВМ_74,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18199,Т061НН_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18200,А911НР_20,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18201,О953ЕХ_83,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18202,Р219ЕЕ_97,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
18203,Т214РС_49,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18204,С910УН_67,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18205,К561ОВ_10,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18206,К608СТ_74,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18207,Т041ТН_05,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
18208,Р516ХК_99,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18209,К595КО_94,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18210,В813РВ_90,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18211,К458РА_37,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18212,А420РН_06,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18213,К270ЕМ_91,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18214,Е633ВО_88,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18215,Т066НУ_48,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18216,В465ХА_48,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18217,Н447ММ_64,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
18218,Е624МВ_90,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18219,Х910ВУ_31,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18220,Х918НХ_86,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,серый
18221,Р717РН_08,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18222,С027УМ_00,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18223,Е812УО_21,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18224,Т606РМ_99,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18225,Е056КВ_99,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18226,Н216ВС_53,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18227,Е737ТН_73,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18228,О982ХО_76,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,пурпурный
18229,М049НВ_60,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18230,Р825ВО_45,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18231,М190КТ_02,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18232,Н605ОС_40,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
18233,Р014МХ_73,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18234,М555СУ_46,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18235,У464МР_52,Porsche Cayenne Coupe GTS I,внедорожник,автомат,полный,460,4.0,Бензин,серый
18236,У808СВ_65,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18237,Р417УВ_31,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18238,Х666МТ_40,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18239,М465ХС_61,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
18240,С513КМ_41,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18241,У291НУ_39,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18242,Р502УА_15,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
18243,С471ВА_43,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18244,С577ТН_43,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18245,О169АР_83,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18246,В604ТС_12,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18247,Р365СВ_93,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18248,В420ХЕ_17,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18249,С573АС_52,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18250,А260ОН_06,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18251,В634МС_99,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18252,В420МН_23,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18253,С908ВТ_97,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18254,М760РМ_07,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18255,Х505УХ_68,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18256,О496ВО_22,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
18257,Т766АС_54,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
18258,Т264КУ_04,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18259,С916ЕС_98,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18260,В583РЕ_61,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18261,Т703ЕР_84,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18262,У228ЕВ_00,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18263,Е512НА_45,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18264,О605ХУ_42,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18265,М331ХХ_23,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,синий
